'Simulation of Strong Ground Motions for M9 Megathrust Earthquake using M7 Class Earthquake Records as Modified Empirical Green’s Functions','http://ess.sustech.edu.cn/New-detail-id-169.html','司宏俊，日本地震研究有限公司董事长，日本东京大学地震研究所Visiting Research Fellow','2018-12-29','ESS','创园9栋401会议室',
'基于储层条件的高精度微米CT岩芯扫描驱替系统 — 在石油工程和二氧化碳埋存中的应用（3D MicroCT in -situ Scanning —  Application to Petroleum Engineering and Carbon Geosequestration）','http://ess.sustech.edu.cn/New-detail-id-166.html','张艺怀，英国赫瑞瓦特大学Lyell地球资源与海洋科技中心Research Associate','2018-12-27','ESS','创园9栋401会议室',
'辐射带电子动力学与波粒相互作用','http://ess.sustech.edu.cn/New-detail-id-167.html','倪彬彬，武汉大学电子信息学院空间物理系教授','2018-12-27','ESS','创园9栋401会议室',
'断层带结构与震源物理过程 ','http://ess.sustech.edu.cn/New-detail-id-160.html','香港中文大学 杨宏峰 助理教授（青年千人）','2018-12-21','ESS','创园9栋401会议室',
'Digital Rock Physics: Applications in fluid flow and rock deformation','http://ess.sustech.edu.cn/New-detail-id-163.html','黃庭芳（香港中文大学理学院 教授）','2018-12-21','ESS','创园9栋401会议室',
'磁层空间暴过程及动力学机理','http://ess.sustech.edu.cn/New-detail-id-164.html','沈超，哈尔滨工业大学(深圳)教授','2018-12-20','ESS','创园9栋401会议室',
'粘弹性叠前偏移：等效Q值实现  ','http://ess.sustech.edu.cn/New-detail-id-165.html','张剑锋，中国科学院地质与地球物理研究所研究员','2018-12-19','ESS','创园9栋401会议室',
'从灾难性地震回顾中国的地震预报历程','http://ess.sustech.edu.cn/New-detail-id-161.html','陈棋福（中国科学院地质与地球物理研究所，教授）','2018-12-7','ESS','创园9栋401会议室',
'采用超高应变分布式光纤声波传感(DAS)系统的3D-VSP勘探技术','http://ess.sustech.edu.cn/New-detail-id-158.html','余刚（中石油东方地球物理公司 千人计划专家）','2018-11-21','ESS','创园9栋401会议室',
'行星大气逃逸与宜居环境演化','http://ess.sustech.edu.cn/New-detail-id-156.html','魏勇（中国科学院地质与地球物理研究所 研究员）','2018-11-20','ESS','创园9栋401会议室',
'地震星可以预报地震吗？','http://ess.sustech.edu.cn/New-detail-id-155.html','冯永勇（中科院国家空间中心 副研究员）','2018-11-19','ESS','创园9栋401会议室',
'震前多物理参量异常演化序列与其关联性','http://ess.sustech.edu.cn/New-detail-id-151.html','陈界宏（中国地质大学(武汉)教授/地球物理博士）','2018-11-19','ESS','创园9栋401会议室',
'Earthquake physics: from localisation to prediction','http://ess.sustech.edu.cn/New-detail-id-153.html','Didier Sornette，ETH Zurich Professor','2018-11-14','ESS','创园9栋401会议室',
'地震活动参数的数据驱动（data-driven）计算','http://ess.sustech.edu.cn/New-detail-id-152.html','蒋长胜（中国地震局地球物理研究所研究员）','2018-11-14','ESS','创园9栋401会议室',
'东南极Dome A地区的冰盖动力学研究','http://ess.sustech.edu.cn/New-detail-id-145.html','唐学远（中国极地研究中心副研究员）','2018-11-8','ESS','创园9栋401会议室',
'1、全走时反演；2、用CNN识别地震断层','http://ess.sustech.edu.cn/New-detail-id-149.html','骆毅，沙特阿美石油公司，高级研究员','2018-11-5','ESS','创园9栋401会议室',
'地球磁层中的空间等离子体物理过程','http://ess.sustech.edu.cn/New-detail-id-146.html','陆全明（中国科学技术大学地球和空间科学学院 教授）','2018-11-5','ESS','创园9栋401会议室',
'地震波速各向异性结构研究进展','http://ess.sustech.edu.cn/New-detail-id-147.html','赵里，北京大学讲席教授','2018-11-1','ESS','创园9栋401会议室',
'Exploring the boundary of the solar system','http://ess.sustech.edu.cn/New-detail-id-148.html','V. Florinski，University of Alabama in Huntsville','2018-11-1','ESS','创园9栋401会议室',
'Extreme-scale HPC Earthquake Simulation in the Convergence of HPC, Big Data and Deep Learning','http://ess.sustech.edu.cn/New-detail-id-143.html','Yifeng Cui, San Diego Supercomputer Center,','2018-10-29','ESS','创园9栋401会议室',
'1）Seismic-guided regularized marine CSEM inversion; 2）Modeling magnetic field data by using stochastic PDEs','http://ess.sustech.edu.cn/New-detail-id-141.html','中南大学地球科学与信息物理学院 郭振威博士','2018-10-26','ESS','创园9栋401会议室',
'从地球磁层到太阳系边界 ','http://ess.sustech.edu.cn/New-detail-id-142.html','宗秋刚（北京大学-空间物理与应用技术研究所所长/地球与空间科学学院长江学者奖励计划特聘教授）','2018-10-18','ESS','创园9栋401会议室',
'Auto-windowed Super-virtual Interferometry via Machine Learning: A Strategy of First-arrival Traveltime Automatic Picking for Noisy Seismic Data','http://ess.sustech.edu.cn/New-detail-id-136.html','沙特阿卜杜拉国王科技大学地球物理陆恺博士','2018-9-28','ESS','创园9栋401会议室',
'The Hot Polar Cap','http://ess.sustech.edu.cn/New-detail-id-137.html','哈工大（深圳）黄延实老师','2018-9-28','ESS','创园9栋401',
'南加州地震尾波的系列研究','http://ess.sustech.edu.cn/New-detail-id-140.html','王巍博士（Scripps海洋研究所，UCSD）','2018-9-27','ESS','创园9栋401会议室',
'空间波数混合域重磁位场二维数值模拟','http://ess.sustech.edu.cn/New-detail-id-135.html','王旭龙（中南大学地质工程专业）','2018-9-19','ESS','创园9栋401会议室',
'Microseismic applications in rock integrity analysis with a case study from induced seismicity','http://ess.sustech.edu.cn/New-detail-id-134.html','黄俊伟（加拿大安大略省注册地球物理师，Itasca咨询公司高级地球物理工程师和软件工程师）','2018-9-7','ESS','创园9栋401会议室',
'压缩感知技术在陆地地震采集中的应用','http://ess.sustech.edu.cn/New-detail-id-133.html','李翔（休斯顿BGP senior research geophysicist ）','2018-9-3','ESS','创园9栋401会议室',
'大洋探测中的电磁勘探方法与西南印度洋科考见闻','http://ess.sustech.edu.cn/New-detail-id-132.html','沈金松（中国地球物理学会会员，中国石油学会会员，中国石油化工股份有限公司油藏综合地球物理研究中心秘书长）','2018-8-21','ESS','创园9栋401会议室',
'BGP海洋电磁技术进展及应用','http://ess.sustech.edu.cn/New-detail-id-131.html','孙卫斌（中石油集团专家，东方地球物理公司专家）','2018-8-21','ESS','创园9栋401会议室',
'Seismic Dispersion, Attenuation, and Frequency-dependent Anisotropy of Fractured Reservoirs','http://ess.sustech.edu.cn/New-detail-id-130.html','澳大利亚科廷大学勘探地球物理系郭俊鑫博士','2018-8-17','ESS','创园9栋401会议室',
'Modeling of Acoustic Wave Propagation','http://ess.sustech.edu.cn/New-detail-id-129.html','美国北卡罗莱纳州立大学景云副教授','2018-8-14','ESS','创园9栋401会议室',
'Plasma dynamics and related waves activities in the Earth's ring current: Van Allen Probe observation','http://ess.sustech.edu.cn/New-detail-id-126.html','美国加州大学洛杉矶分校(UCLA)乐超博士','2018-8-10','ESS','创园9栋401会议室',
'Towards a New Space Weather Modeling Suite','http://ess.sustech.edu.cn/New-detail-id-128.html','香港大学地球科学系张彬铮(助理教授）','2018-8-7','ESS','创园9栋401会议室',
'空间高能粒子研究','http://ess.sustech.edu.cn/New-detail-id-127.html','哈工大(深圳)秦刚教授','2018-8-3','ESS','创园9栋401会议室',
'Human-Induced Seismicity /  人为诱发地震','http://ess.sustech.edu.cn/New-detail-id-109.html','美国佐治亚理工学院彭志刚教授','2018-07-21','ESS','创园9栋401会议室',
'Solar Energetic Electron Events','http://ess.sustech.edu.cn/New-detail-id-108.html','北京大学副教授王玲华','2018-7-6','ESS','创园9栋401会议室',
'先进光纤传感技术及其在地震监测中的应用','http://ess.sustech.edu.cn/New-detail-id-121.html','邵理阳','2018-6-19','ESS','创园9栋401会议室',
'Clustering Model for Seismicity Data Analysis: Earthquake Declustering, Seismicity Anomaly Detection, and Model Extension ','http://ess.sustech.edu.cn/New-detail-id-110.html','日本统计数理研究所（ISM）准教授庄建仓','2018-6-19','ESS','创园9栋401会议室',
'Earth observations in support of geo-disaster risk reduction','http://ess.sustech.edu.cn/New-detail-id-122.html','英国纽卡斯尔大学李振洪教授','2018-6-15','ESS','创园9栋401会议室',
'Deep Learning based Geophysical Data Denoising and Inversion','http://ess.sustech.edu.cn/New-detail-id-123.html','马坚伟（哈工大地球物理中心主任、人工智能研究院副院长、数学系教授）','2018-6-14','ESS','创园9栋401会议室',
'Conjugate High Latitude Magnetic Measurements along the 40 degree Magnetic Meridian','http://ess.sustech.edu.cn/New-detail-id-106.html','美国弗吉尼亚理工学院研究员Zhonghua XU','2018-6-4','ESS','创园9栋401会议室',
'高精度地震勘探数据采集装备关键技术研究','http://ess.sustech.edu.cn/New-detail-id-102.html','宋克柱，中国科学技术大学教授、博士生导师','2018-5-31','ESS','创园9栋401会议室',
'地震虚拟源在四维地震监测中的应用','http://ess.sustech.edu.cn/New-detail-id-104.html','沙特阿美石油公司资深地球物理勘探师赵杨博士','2018-5-30','ESS','创园9栋401会议室',
'梯形坐标系有限差分地震波模拟理论与方法','http://ess.sustech.edu.cn/New-detail-id-101.html','西安交通大学吴帮玉老师','2018-5-28','ESS','创园9栋401会议室',
'数据导向型地球动力学模型在研究板块俯冲和大陆岩石圈演化中的应用—以南美为例','http://ess.sustech.edu.cn/New-detail-id-100.html','美国伊利诺伊大学厄巴纳香槟分校胡佳顺博士','2018-5-24','ESS','创园9栋401会议室',
'北斗卫星导航系统建设现状及未来发展','http://ess.sustech.edu.cn/New-detail-id-96.html','中国科学院院士、北斗三号副总设计师杨元喜','2018-4-25','ESS','图书馆111学术报告厅',
'Imaging continental collision and subduction in the Pamir mountain range by seismology – An overview','http://ess.sustech.edu.cn/New-detail-id-91.html','Dr. Yuan Xiaohui','2018-4-18','ESS','慧园6栋311会议室',
