'Fantastically two-dimensional layered materials and How to use them','https://eee.sustc.edu.cn/?p=3217&cc=7','Peiguang Yan','2018-03-30','EE','第二科研楼 503会议室',,,,
'Plasmonic fiber-optic biochemical and electrochemical sensing','https://eee.sustc.edu.cn/?p=3214&cc=7','郭团','2018-03-30','EE','第二科研楼 503会议室',,,,
'南方科技大学专利讲座介绍','https://eee.sustc.edu.cn/?p=3211&cc=7','李泳博','2018-03-30','EE','第二科研楼 503会议室',,,,
'氮化物半导体及其量子结构的大失配异质外延','https://eee.sustc.edu.cn/?p=3208&cc=7','沈波','2018-03-29','EE','图书馆111报告厅',,,,
'发展Micro-LED技术的若干思考','https://eee.sustc.edu.cn/?p=3204&cc=7','郑有炓','2018-03-28','EE','图书馆111报告厅',,,,
'Two-Dimensional Layered Materials: Growth Dynamics and Electron Device','https://eee.sustc.edu.cn/?p=3201&cc=7','Yang Chai','2018-03-28','EE','第二科研楼 503会议室',,,,
'超快光纤激光的研究进展及应用','https://eee.sustc.edu.cn/?p=3182&cc=7','刘雪明','2018-03-22','EE','第二科研楼 503会议室',,,,
'高效钙钛矿光电器件','https://eee.sustc.edu.cn/?p=3179&cc=7','游经碧','2018-03-22','EE','第二科研楼 503会议室',,,,
'BioMEMS for Biomedical applications','https://eee.sustc.edu.cn/?p=3174&cc=7','Hyun Soo Kim','2018-03-22','EE','第一教学楼 302室',,,,
'Are You Still Working on 2D?','https://eee.sustc.edu.cn/?p=3171&cc=7','Terrence Mak','2018-03-22','EE','第二科研楼 503会议室',,,,
'Spectroscopy,Microscopy,and Tomography Enhanced by Ultrafast Photonics','https://eee.sustc.edu.cn/?p=3168&cc=7','Kenneth K. Y. Wong','2018-03-22','EE','第二科研楼 503会议室',,
'神奇的激光、更神奇的飞秒激光','https://eee.sustc.edu.cn/?p=3165&cc=7','徐世祥','2018-03-22','EE','一教 401会议室',,,,
'新型光电子器件关键技术','https://eee.sustc.edu.cn/?p=3162&cc=7','裴丽','2018-03-22','EE','第二科研楼 503会议室',,,,
'Design,Optimization and Tuning of Microwave Filters','https://eee.sustc.edu.cn/?p=3129&cc=7','王颖','2018-03-15','EE','南山智园A7栋 1113会议室',,,
'Microwave Photonics','https://eee.sustc.edu.cn/?p=3126&cc=7','姚建平','2018-03-07','EE','第二科研楼 503会议室',,,,
'Being a Great Hurdler – Key Ingredients of Your Tenure Dossier','https://eee.sustc.edu.cn/?p=3096&cc=7','M. Jamal Deen','2018-03-01','EE','图书馆 110报告厅',,,,
'Surface smoothing effect of an amorphous insulating thin film deposited by atomic layer deposition on polycrystalline ZnO or other materials and its significance','https://eee.sustc.edu.cn/?p=3102&cc=7','W.S. Lau','2018-02-26','EE','第二科研楼 503会议室',,,,
'High Performance Microwave Technologies for the 5G and Internet of Space','https://eee.sustc.edu.cn/?p=3093&cc=7','于明','2018-02-26','EE','南山智园A7栋 1113会议室',,,,
'Optical quantum information processing','https://eee.sustc.edu.cn/?p=3077&cc=7','陆朝阳','2018-01-30','EE','第二科研楼 503会议室',,,,
'处理器设计若干挑战及研究','https://eee.sustc.edu.cn/?p=3016&cc=7','虞志益','2018-01-22','EE','第二科研楼 503会议室',,,,
'激光清洗','https://eee.sustc.edu.cn/?p=3008&cc=7','宋峰','2018-01-19','EE','第二科研楼 503会议室',,,,
'Light gain amplification in microcavity organic semiconductor laser diodes under electrical pumping','https://eee.sustc.edu.cn/?p=2977&cc=7','刘星元','2018-01-18','EE','第二科研楼 503会议室',,,,
'金属材料表面的飞秒激光微纳制造技术','https://eee.sustc.edu.cn/?p=2922&cc=7','杨建军','2018-01-12','EE','第二科研楼 503会议室',,,,
'溶液加工发光显示器件研究','https://eee.sustc.edu.cn/?p=2919&cc=7','彭俊彪','2018-01-12','EE','第二科研楼 503会议室',,,,
'光锁相环及其应用','https://eee.sustc.edu.cn/?p=2916&cc=7','董毅','2018-01-12','EE','第二科研楼 503会议室',,,,
'Materials Design and Development for Next-Generation Energy Storage Technologies','https://eee.sustc.edu.cn/?p=2901&cc=7','Hailong Chen','2018-01-12','EE','第二科研楼 503会议室',,,,
'OLED器件材料和工艺介绍','https://eee.sustc.edu.cn/?p=2913&cc=7','向传义','2018-01-11','EE','第二科研楼 408会议室',,,,
'The Controlled Synthesis of Metal Oxide Nanoparticles and Some Examples of Applications','https://eee.sustc.edu.cn/?p=2898&cc=7','DELVILLE Marie-Hélène','2018-01-11','EE','国际会议中心',,,,
'Cesium Lead Halide Nanocrystals: Colloidal Synthesis and Applications','https://eee.sustc.edu.cn/?p=2895&cc=7','Qiao ZHANG','2018-01-11','EE','第二科研楼 503会议室',,,,
'Stimulated Brillouin Scattering: from optical fiber to silicon-based chip','https://eee.sustc.edu.cn/?p=2892&cc=7','Junqiang SUN','2018-01-11','EE','第二科研楼 503会议室',,,,
'计算受限的移动边缘网络','https://eee.sustc.edu.cn/?p=2878&cc=7','王玮','2018-01-10','EE','南山智园A7栋 1113会议室',,,,
'Research——A Pleasurable Journey','https://eee.sustc.edu.cn/?p=2851&cc=7','M.Jamal Deen','2018-01-05','EE','第二科研楼 503会议室',,,,
'Strategies of information processing in the auditory system… and how neuroscientists and engineers can support each other','https://eee.sustc.edu.cn/?p=2848&cc=7','None','2018-01-05','EE','南山智园A7栋 1113会议室',,,,
'Photopatterning of Molecular Orientations by Using Plasmonic Metamasks','https://eee.sustc.edu.cn/?p=2845&cc=7','Qi-Huo Wei','2018-01-05','EE','第二科研楼 503会议室',,,,
'IGBT(绝缘栅双极型晶体管)--设计和工艺中的若干工程技术问题','https://eee.sustc.edu.cn/?p=2810&cc=7','龚大卫','2018-01-01','EE','第二科研楼 503会议室',,,,
'Comprehensive study of Ga Activation in Si,SiGe and Ge with 5 × 10-10 Ω·cm2 Contact Resistivity Achieved on Ga doped Ge using Nanosecond Laser Activation','https://eee.sustc.edu.cn/?p=2807&cc=7','蒋玉龙','2018-01-01','EE','第二科研楼 503会议室',,,
'Plasmonic Chalcogenide Color Printing','https://eee.sustc.edu.cn/?p=2774&cc=7','刘海龙','2017-12-29','EE','第二科研楼 503会议室',,,,
'Deep UV laser | Emerging B-III-N material | Polarization tool','https://eee.sustc.edu.cn/?p=2768&cc=7','李晓航','2017-12-29','EE','第二科研楼 503会议室',,,,
'Optimal-tuned Weighted LASSO for Massive MIMO Channel Estimation with Limited RF Chains','https://eee.sustc.edu.cn/?p=2729&cc=7','Vincent Lau','2017-12-27','EE','南山智园A7栋 1113会议室',,,,
'Connectivity of Millimeter-Wave Networks in Urban Environments Modeled Using Random Lattices','https://eee.sustc.edu.cn/?p=2726&cc=7','Kaibin Huang','2017-12-27','EE','南山智园A7栋 1113会议室',,,,
'An approximate maximum likelihood detection algorithm for phasenoise impaired MIMO channels','https://eee.sustc.edu.cn/?p=2723&cc=7','Sheng Yang','2017-12-27','EE','南山智园A7栋 1113会议室',,,,
'Analysis and Optimization of Caching in Large-scale Wireless Networks','https://eee.sustc.edu.cn/?p=2720&cc=7','Ying CUI','2017-12-27','EE','南山智园A7栋 1113会议室',,,,
'硅基纳米光子器件','https://eee.sustc.edu.cn/?p=2701&cc=7','Daoxin Dai','2017-12-25','EE','第二科研楼 503会议室',,,,
'激光相干性调控及应用','https://eee.sustc.edu.cn/?p=2698&cc=7','蔡阳健','2017-12-25','EE','第二科研楼 503会议室',,,,
'氧化物神经形态晶体管及其“类脑芯片”应用','https://eee.sustc.edu.cn/?p=2664&cc=7','万青','2017-12-19','EE','第二科研楼 503会议室',,,,
'界面及活性层修饰对有机太阳能性能电池性能影响的研究','https://eee.sustc.edu.cn/?p=2660&cc=7','康博南','2017-12-19','EE','第二科研楼 503会议室',,,,
'Photonics in Medicine and Health','https://eee.sustc.edu.cn/?p=2597&cc=7','John Canning','2017-12-13','EE','第二科研楼 503会议室',,,,
'Liquid-Crystal-based Planar Waveguide Devices for Optical Interconnects','https://eee.sustc.edu.cn/?p=2581&cc=7','张需明','2017-12-13','EE','第二科研楼503会议室',,,,
'Next generation solar cells: focused on nanomaterials and nanotechnology','https://eee.sustc.edu.cn/?p=2066&cc=7','Dong Hwan Wang','2017-12-13','EE','第二科研楼 503会议室',,,,
'New Ingredients in the Pot - Rethink Analog IC Design -','https://eee.sustc.edu.cn/?p=1553&cc=7','孙楠','2017-12-11','EE','第二科研楼 503会议室',,,,
'Two-Dimensional Nanomaterials Enabled Information Storage and Sensing','https://eee.sustc.edu.cn/?p=2071&cc=7','俞滨','2017-12-08','EE','第二科研楼 503会议室',,,,
'面向照明和显示的无机钙钛矿量子点发光二极管','https://eee.sustc.edu.cn/?p=2073&cc=7','张宇','2017-12-04','EE','第二科研楼 503会议室',,,,
'Few Cycle pulse generation from nonlinear process in fiber laser system','https://eee.sustc.edu.cn/?p=2079&cc=7','Minglie Hu','2017-11-27','EE','第二科研楼 503会议室',,,,
