'Meta-lens for Imaging and Sensing','http://mse.sustc.edu.cn/cn/lecture/view/id/391','Prof. Din Ping Tsai','2019-4-17','MSE',' Room 408, Faculty Research Building #2',
'Soft X-Ray Microspectroscopy – from In-operando Studies of  ...','http://mse.sustc.edu.cn/cn/lecture/view/id/390','Prof. Rainer H. Fink','2019-4-16','MSE','Room 408, Faculty Research Building #2',
'Micro-nanofabrication and Microneedle','http://mse.sustc.edu.cn/cn/lecture/view/id/389','Prof. Bo Cui','2019-4-15','MSE','Room 408, Faculty Research Building #2',
'Synchrotron Radiation-Based Characterizations of Low Dimensi ...','http://mse.sustc.edu.cn/cn/lecture/view/id/386','Prof. Li Song','2019-4-12','MSE','Room 408, Faculty Research Building #2',
'面向能源小分子的金属纳米催化剂原子尺度精准调控 ...','http://mse.sustc.edu.cn/cn/lecture/view/id/388','吴宇恩 教授','2019-4-11','MSE','第二科研楼408会议室',
'基于同步辐射X射线成像技术对比表征3种工艺球形TC4粉末 ...','http://mse.sustc.edu.cn/cn/lecture/view/id/384','陈刚 副教授','2019-4-11','MSE','第二科研楼408会议室',
'壁流式重结晶碳化硅基体内晶粒形状和孔径大小 ...','http://mse.sustc.edu.cn/cn/lecture/view/id/387','邓承继  教授','2019-4-10','MSE','第二科研楼408会议室',
'Materials and Devices for Flexible Bio-Integrated Electronic ...','http://mse.sustc.edu.cn/cn/lecture/view/id/385','Prof. Xinge Yu','2019-4-9','MSE',': Room 408, Faculty Research Building #2',
'Computational Design of Ductile Magnesium Alloys','http://mse.sustc.edu.cn/cn/lecture/view/id/383','Prof. Zhaoxuan Wu','2019-4-2','MSE','Room 408, Faculty Research Building #2',
'Recent Progress in Fast Functional','http://mse.sustc.edu.cn/cn/lecture/view/id/382','Prof. Lidai Wang','2019-3-29','MSE','Meeting Room201，Hui Yuan #1',
'Electrolyte Design and Solution Mediation Processes in','http://mse.sustc.edu.cn/cn/lecture/view/id/381','Prof. Yi-Chun Lu','2019-3-22','MSE','Room 408, Faculty Research Building #2',
'Materials Innovations for Emerging Energy Technologies','http://mse.sustc.edu.cn/cn/lecture/view/id/380','Prof. Liangbing  Hu ','2019-3-18','MSE','Room 408, Faculty Research Building #2',
'Interacting Light with Semiconductor at the Nanoscale','http://mse.sustc.edu.cn/cn/lecture/view/id/379','Prof. Wei Bao ','2019-3-14','MSE','Room 408, Faculty Research Building #2',
'Production of 2D Materials and Their Applications in Electro ...','http://mse.sustc.edu.cn/cn/lecture/view/id/378','Prof. Bilu Liu','2019-3-12','MSE','Room 408, Faculty Research Building #2',
'Polymer-Assisted Metal Deposition for Soft Electronics','http://mse.sustc.edu.cn/cn/lecture/view/id/377','Prof. Zijian Zheng','2019-3-8','MSE','Room 408, Faculty Research Building #2',
'Atomic Diffusion in Nanoscale Metal Alloy Electrocatalysts','http://mse.sustc.edu.cn/cn/lecture/view/id/376','Prof. Lin Gan','2019-3-6','MSE','Room 408, Faculty Research Building #2',
'高效、低成本、环保的下一代有机太阳能电池','http://mse.sustc.edu.cn/cn/lecture/view/id/375','颜河 教授','2019-2-26','MSE','None',
'A nanopipette Enables Manipulation of Nano-matters in Fluids','http://mse.sustc.edu.cn/cn/lecture/view/id/374','Prof. Ji Tae Kim','2019-2-22','MSE','Room 408, Faculty Research Building #2',
'Solid Electrolyte for Future Batteries','http://mse.sustc.edu.cn/cn/lecture/view/id/373','Prof. Lu Li（National University of Singapore）','2019-2-22','MSE','Room 408, Faculty Research Building #2',
'微纳尺度腔量子电动力学','http://mse.sustc.edu.cn/cn/lecture/view/id/371','古英 教授 (北京大学)','2019-1-17','MSE','第二科研楼408会议室',
'微热板技术及薄膜热物性测试仪器','http://mse.sustc.edu.cn/cn/lecture/view/id/370','唐祯安 教授 (大连理工大学)','2019-1-15','MSE','创园6栋301会议室',
'Investigating the Heterogeneous Nucleation in Nanocrystal Gr ...','http://mse.sustc.edu.cn/cn/lecture/view/id/369','Prof. Dong Qin (Georgia Institute of Technology)','2018-12-24','MSE','Room 408, Faculty Research Building #2',
'自修复聚合物材料','http://mse.sustc.edu.cn/cn/lecture/view/id/368','孙俊奇教授（吉林大学）','2018-12-24','MSE','第二科研楼408会议室',
'Semiconducting Polymers and Their Application to Energy Devi ...','http://mse.sustc.edu.cn/cn/lecture/view/id/367','Prof. Taiho Park (Pohang University of Science and Technology)','2018-12-21','MSE','Room 408, Faculty Research Building #2',
'高效二氧化锡电子传输材料与 钙钛矿光伏电池 ...','http://mse.sustc.edu.cn/cn/lecture/view/id/366','方国家教授（武汉大学）','2018-12-19','MSE','第二科研楼408会议室',
'固体核磁共振谱对锂/钠/镁离子电池的研究','http://mse.sustc.edu.cn/cn/lecture/view/id/365','刘子庚 博士（德国马克斯普朗克化学能源转换研究所）','2018-12-17','MSE','第二科研楼408会议室',
'Perovskite Photovoltaics: History, Progress  and Perspective','http://mse.sustc.edu.cn/cn/lecture/view/id/364','Prof. Nam-Gyu Park (Sungkyunkwan University)','2018-12-17','MSE','Room 408, Faculty Research Building #2',
'Perovskite Material and Solar Cell Research by Surface Scien ...','http://mse.sustc.edu.cn/cn/lecture/view/id/363','Prof. Yabing Qi','2018-12-12','MSE','Room 408, Faculty Research Building #2',
'Opportunities in metal additive manufacturing beyond structu ...','http://mse.sustc.edu.cn/cn/lecture/view/id/362','Prof. Moataz Attallah','2018-12-11','MSE','University of Birmingham',
'Rechargeable Zn Ion Batteries','http://mse.sustc.edu.cn/cn/lecture/view/id/361','Prof. Jihui Yang (University of Washington)','2018-12-5','MSE','Room 408, Faculty Research Building #2 ',
'Development of Gold Extraction Technologies','http://mse.sustc.edu.cn/cn/lecture/view/id/360','Prof. Yahui Zhang (Memorial University of Newfoundland)','2018-11-30','MSE','Room 408, Faculty Research Building #2',
'Manipulating Classical Waves Using Topological Properties','http://mse.sustc.edu.cn/cn/lecture/view/id/359','Prof. Meng XIAO (Wuhan University)','2018-11-28','MSE','Room 408, Faculty Research Building #2',
'Nonlinear, topological, and quantum optical phenomena in str ...','http://mse.sustc.edu.cn/cn/lecture/view/id/358','Prof. Nicolae C. Panoiu (University College London)','2018-11-28','MSE','Room 408, Faculty Research Building #2',
'Recent Progress on the Field of Organic Solar Cells in ATOMS','http://mse.sustc.edu.cn/cn/lecture/view/id/357','Prof. Changduk Yang(Ulsan National Institute of Science and Technology)','2018-11-23','MSE','Room 408, Faculty Research Building #2',
'干涉等离子体显微技术及免标记单分子成像','http://mse.sustc.edu.cn/cn/lecture/view/id/356','余辉副教授 (上海交通大学) ','2018-11-23','MSE','第二科研楼408会议室',
'Flash Sintering: The Scientific Questions and Technological  ...','http://mse.sustc.edu.cn/cn/lecture/view/id/355','Prof. Jian Luo(University of California, San Diego)','2018-11-22','MSE','Room 408, Faculty Research Building #2',
