'The proteomics philosophy of mine','http://chem.sustc.edu.cn/index.php/dynamic/details/tid/24.html','刘斯奇教授  ','2016-11-28','Chemistry','第一教学楼306',,,,
'天然产物全合成探索','http://chem.sustc.edu.cn/index.php/dynamic/details/tid/25.html','李昂研究员  ','2016-11-18','Chemistry','行政楼401会议室',,,,
'聚合物功能纳米结构的可控制备与多层次自组装','http://chem.sustc.edu.cn/index.php/dynamic/details/tid/21.html','邱惠斌研究员  ','2016-11-8','Chemistry','行政楼401',,,,
'Lessons from the Past – Approaches for New Drug Discovery','http://chem.sustc.edu.cn/index.php/dynamic/details/tid/18.html','杨立虎教授  ','2016-11-3','Chemistry','图书馆111报告厅',,,,
'Ruthenium(II) catalysed C-H bond functionalisations','http://chem.sustc.edu.cn/index.php/dynamic/details/tid/19.html','Prof. Pierre H. Dixneuf  ','2016-11-2','Chemistry','行政楼401',,,,
'ARTIFICIAL WATER CHANNELS ','http://chem.sustc.edu.cn/index.php/dynamic/details/tid/20.html','Prof. Mihail Barboiu  ','2016-10-31','Chemistry','行政楼401',,,,
'纳米结构单元的仿生合成、组装及应用展望','http://chem.sustc.edu.cn/index.php/dynamic/details/tid/15.html','俞书宏教授  ','2016-10-24','Chemistry','行政楼401',,,,
'Intriguing Aspects of Non-innocent Ligands in Transition Metal Complexes','http://chem.sustc.edu.cn/index.php/dynamic/details/tid/16.html','Prof. Michael B. Hall   ','2016-10-24','Chemistry','行政楼401',,,,
'稀土单分子磁体弛豫及自旋拓扑调控','http://chem.sustc.edu.cn/index.php/dynamic/details/tid/17.html','唐金魁研究员  ','2016-10-24','Chemistry','行政楼401',,,,
'Greener Catalytic and Synthetic Chemistry and Technology ','http://chem.sustc.edu.cn/index.php/dynamic/details/tid/14.html','李桂根教授  ','2016-10-20','Chemistry','行政楼401',,,,
'Supramolecular Gels: From Superhydrophobic and Slippery Surfaces to Directional Transport','http://chem.sustc.edu.cn/index.php/dynamic/details/tid/13.html','Prof. Dr. Christoph A. Schalley   ','2016-9-29','Chemistry','图书馆110报告厅',,,,
'香港大学化学系招生及学术交流','http://chem.sustc.edu.cn/index.php/dynamic/details/tid/11.html','支志明院士  ','2016-9-8','Chemistry','第一科研楼报告厅',,,,
