'Computing Theory of Markov Processes: RG-Factorizations','http://math.sustech.edu.cn/hall/11076.html','李泉林（燕山大学）','2018-10-17','Math','慧园3栋 415报告厅',
'Insurance risk control and optimization:a short review and some recent progress','http://math.sustech.edu.cn/hall/10998.html','郭军义（南开大学）','2018-7-13','Math','慧园3栋 415报告厅',
'A Deep Learning Perspective of Recursive Partitioning Based Methods','http://math.sustech.edu.cn/hall/10946.html','张和平（耶鲁大学）','2018-6-22','Math','慧园3栋 415报告厅',
'Multistate Models for Recurrent Events and Terminal Events','http://math.sustech.edu.cn/hall/11129.html','潘建新（曼彻斯特大学）','2018-6-19','Math','慧园3栋 518报告厅',
'一些含有旋度的非线性方程组','http://math.sustech.edu.cn/hall/10918.html','潘兴斌（华东师范大学）','2018-6-14','Math','慧园3栋 415报告厅',
'Inverse Source Problems for Wave Propagation','http://math.sustech.edu.cn/hall/11130.html','李培军（普渡大学）','2018-6-9','Math','慧园3栋 415报告厅',
'Recent advances on mathematical analysis and simulation of invisibility cloaks with metamaterials','http://math.sustech.edu.cn/hall/11126.html','李继春（内华达大学拉斯维加斯分校）','2018-6-8','Math','慧园3栋 415报告厅',
'Charge Transport in Biological Environments: the Energetic  Variational Approaches','http://math.sustech.edu.cn/hall/11128.html','柳春（伊利诺理工大学）','2018-6-8','Math','慧园3栋 415报告厅',
'Remarks on Osgood conditions','http://math.sustech.edu.cn/hall/11123.html','方诗赞（勃艮第大学）','2018-6-6','Math','慧园3栋 415报告厅',
'Hypergeometric functions over finite fields','http://math.sustech.edu.cn/hall/11127.html','龙玲（路易斯安那州立大学）','2018-6-5','Math','慧园3栋 415报告厅',
'Speeds of coming down from infinity for a class of continuous-state nonlinear branching processes','http://math.sustech.edu.cn/hall/11124.html','周晓文（康考迪亚大学）','2018-5-30','Math','慧园3栋 415报告厅',
'自由流与多孔介质流的耦合与解耦','http://math.sustech.edu.cn/hall/11125.html','王晓明（复旦大学）','2018-5-24','Math','慧园3栋 415报告厅',
'Arithmetic properties of extended binomial coefficients','http://math.sustech.edu.cn/hall/10931.html','Christian Ballot（卡昂大学）','2018-5-17','Math','慧园3栋 415报告厅',
'Quantitative Results in Periodic Homogenization','http://math.sustech.edu.cn/hall/10897.html','Zhongwei Shen（肯塔基大学）','2018-5-16','Math','慧园3栋 415报告厅',
'Physical and numerical dissipations','http://math.sustech.edu.cn/hall/10919.html','茅德康（上海大学）','2018-5-10','Math','慧园3栋 415报告厅',
